common_name	source_id	pd_id
1001645-58-4	1001645-58-4	pd_1
10041-02-8	10041-02-8	pd_2
10045-45-1	10045-45-1	pd_3
100828-16-8	100828-16-8	pd_4
1009820-21-6	1009820-21-6	pd_5
1030017-51-6	1030017-51-6	pd_6
1032350-13-2	1032350-13-2	pd_7
CP466722	1080622-86-1	pd_8
U-0126	109511-58-2	pd_9
1096708-71-2	1096708-71-2	pd_10
10-DEBC HYDROCHLORIDE	10-DEBC HYDROCHLORIDE	pd_11
10-PROPARGYL-5,8-DIDEAZAFOLIC ACID	10-PROPARGYL-5,8-DIDEAZAFOLIC ACID	pd_12
[111IN]DOTA-BOC-ATE	[111IN]DOTA-BOC-ATE	pd_13
1132610-45-7	1132610-45-7	pd_14
VER-155008	1134156-31-2	pd_15
1135243-19-4	1135243-19-4	pd_16
1-[1-(3-AMINOPHENYL)-3-TERT-BUTYL-1H-PYRAZOL-5-YL]-3-NAPHTHALEN-1-YLUREA	1-[1-(3-AMINOPHENYL)-3-TERT-BUTYL-1H-PYRAZOL-5-YL]-3-NAPHTHALEN-1-YLUREA	pd_17
1140909-48-3	1140909-48-3	pd_18
1166227-08-2	1166227-08-2	pd_19
AZD-6482	1173900-33-8	pd_20
1174046-72-0	1174046-72-0	pd_21
LY-255283	117690-79-6	pd_22
118101-09-0	118101-09-0	pd_23
1187431-43-1	1187431-43-1	pd_24
bisindolylmaleimide	119139-23-0	pd_25
1192U90	1192U90	pd_26
1194044-20-6	1194044-20-6	pd_27
1194961-19-7	1194961-19-7	pd_28
[1-(1-BENZYL-3-HYDROXY-2-OXO-PROPYLCARBAMOYL)-2-PHENYL-ETHYL]-CARBAMIC ACID BENZYL ESTER	[1-(1-BENZYL-3-HYDROXY-2-OXO-PROPYLCARBAMOYL)-2-PHENYL-ETHYL]-CARBAMIC ACID BENZYL ESTER	pd_29
[11C]AZ10419369	[11C]AZ10419369	pd_30
[11C]BUTYLTHIO-TZTP	[11C]BUTYLTHIO-TZTP	pd_31
[11C]GLYCYLSARCOSINE	[11C]GLYCYLSARCOSINE	pd_32
[11C]MMTP	[11C]MMTP	pd_33
[11C]XANOMELINE	[11C]XANOMELINE	pd_34
11-DEOXY-PGE1	11-DEOXY-PGE1	pd_35
1-(1-METHYLETHYL)-3-QUINOLIN-6-YL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	1-(1-METHYLETHYL)-3-QUINOLIN-6-YL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	pd_36
1-(1-NAPHTHYL)PIPERAZINE	1-(1-NAPHTHYL)PIPERAZINE	pd_37
1-((1R)-1-(HYDROXYMETHYL)-3-{6-[(3-PHENYLPROPANOYL)AMINO]-1H-INDOL-1-YL}PROPYL)-1H-IMIDAZOLE-4-CARBOXAMIDE	1-((1R)-1-(HYDROXYMETHYL)-3-{6-[(3-PHENYLPROPANOYL)AMINO]-1H-INDOL-1-YL}PROPYL)-1H-IMIDAZOLE-4-CARBOXAMIDE	pd_38
1-{(1R,2S)-2-HYDROXY-1-[2-(2-NAPHTHYLOXY)ETHYL]PROPYL}-1H-IMIDAZONE-4-CARBOXAMIDE	1-{(1R,2S)-2-HYDROXY-1-[2-(2-NAPHTHYLOXY)ETHYL]PROPYL}-1H-IMIDAZONE-4-CARBOXAMIDE	pd_39
(11S)-8-CHLORO-11-[1-(METHYLSULFONYL)PIPERIDIN-4-YL]-6-PIPERAZIN-1-YL-11H-BENZO[5,6]CYCLOHEPTA[1,2-B]PYRIDINE	(11S)-8-CHLORO-11-[1-(METHYLSULFONYL)PIPERIDIN-4-YL]-6-PIPERAZIN-1-YL-11H-BENZO[5,6]CYCLOHEPTA[1,2-B]PYRIDINE	pd_40
120615-25-0	120615-25-0	pd_41
1218778-77-8	1218778-77-8	pd_42
1224844-38-5	1224844-38-5	pd_43
1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE	1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE	pd_44
1,2,3-BENZENETRICARBOXYLIC ACID	1,2,3-BENZENETRICARBOXYLIC ACID	pd_45
124192-87-6	124192-87-6	pd_46
GR-79236	124555-18-6	pd_47
1-(2,4,6-TRIHYDROXYBENZOYL)PYRROLE	1-(2,4,6-TRIHYDROXYBENZOYL)PYRROLE	pd_48
1254036-77-5	1254036-77-5	pd_49
[125I]3-N3-PHPA-LVA	[125I]3-N3-PHPA-LVA	pd_50
[125I]ACTH-(1-24)	[125I]ACTH-(1-24)	pd_51
[125I]ANP (HUMAN)	[125I]ANP (HUMAN)	pd_52
[125I]APELIN-13	[125I]APELIN-13	pd_53
[125I]-BDZ2	[125I]-BDZ2	pd_54
[125I]BOP	[125I]BOP	pd_55
[125I]BQ3020	[125I]BQ3020	pd_56
[125I]C3A (HUMAN)	[125I]C3A (HUMAN)	pd_57
[125I]CATHEPSIN G (HUMAN)	[125I]CATHEPSIN G (HUMAN)	pd_58
[125I]CCL20 (HUMAN)	[125I]CCL20 (HUMAN)	pd_59
[125I]CCL25 (HUMAN)	[125I]CCL25 (HUMAN)	pd_60
[125I]CCL27 (HUMAN)	[125I]CCL27 (HUMAN)	pd_61
[125I]CCL3 (HUMAN)	[125I]CCL3 (HUMAN)	pd_62
[125I]CCL5 (HUMAN)	[125I]CCL5 (HUMAN)	pd_63
[125I]CHORIONIC GONADOTROPIN (HUMAN)	[125I]CHORIONIC GONADOTROPIN (HUMAN)	pd_64
[125I]CXCL11 (HUMAN)	[125I]CXCL11 (HUMAN)	pd_65
[125I]CXCL16 (HUMAN)	[125I]CXCL16 (HUMAN)	pd_66
[125I]CXCL1 (HUMAN)	[125I]CXCL1 (HUMAN)	pd_67
[125I]DOI	[125I]DOI	pd_68
[125I]ET-1 (HUMAN, MOUSE, RAT)	[125I]ET-1 (HUMAN, MOUSE, RAT)	pd_69
[125I]FSH (HUMAN)	[125I]FSH (HUMAN)	pd_70
[125I]GASTRIN	[125I]GASTRIN	pd_71
[125I]GLP-1-(7-37) (HUMAN)	[125I]GLP-1-(7-37) (HUMAN)	pd_72
[125I]IODOVINYL-TBZ	[125I]IODOVINYL-TBZ	pd_73
[125I]IRL1620	[125I]IRL1620	pd_74
[125I]LH	[125I]LH	pd_75
[125I][MEPHE7]NKB	[125I][MEPHE7]NKB	pd_76
[125I]NKA (HUMAN, MOUSE, RAT)	[125I]NKA (HUMAN, MOUSE, RAT)	pd_77
[125I]PACAP-27	[125I]PACAP-27	pd_78
[125I][PHE13,TYR19]MCH	[125I][PHE13,TYR19]MCH	pd_79
[125I]SHU9119	[125I]SHU9119	pd_80
[125I]SQ-29548	[125I]SQ-29548	pd_81
[125I]STA	[125I]STA	pd_82
[125I]TSH (HUMAN)	[125I]TSH (HUMAN)	pd_83
[125I][TYR26]GALANIN (HUMAN)	[125I][TYR26]GALANIN (HUMAN)	pd_84
[125I]αCGRP (HUMAN)	[125I]αCGRP (HUMAN)	pd_85
1,25-LACTONE	1,25-LACTONE	pd_86
1260612-13-2	1260612-13-2	pd_87
1268524-70-4	1268524-70-4	pd_88
1-(2,6-DICHLOROPHENYL)-5-(2,4-DIFLUOROPHENYL)-7-PIPERIDIN-4-YL-3,4-DIHYDROQUINOLIN-2(1H)-ONE	1-(2,6-DICHLOROPHENYL)-5-(2,4-DIFLUOROPHENYL)-7-PIPERIDIN-4-YL-3,4-DIHYDROQUINOLIN-2(1H)-ONE	pd_89
1-[(2,6-DIFLUOROPHENYL)SULFONYL]-4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YLSULFONYL)PIPERAZINE	1-[(2,6-DIFLUOROPHENYL)SULFONYL]-4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YLSULFONYL)PIPERAZINE	pd_90
127481-29-2	127481-29-2	pd_91
129075-56-5	129075-56-5	pd_92
1-(2-AMIDINOPHENYL)-3-(PHENOXYPHENYL)UREA	1-(2-AMIDINOPHENYL)-3-(PHENOXYPHENYL)UREA	pd_93
12-BROMODODECANOIC ACID	12-BROMODODECANOIC ACID	pd_94
1-(2-CHLOROPHENYL)-3,5-DIMETHYL-1H-PYRAZOLE-4-CARBOXYLIC ACID ETHYL ESTER	1-(2-CHLOROPHENYL)-3,5-DIMETHYL-1H-PYRAZOLE-4-CARBOXYLIC ACID ETHYL ESTER	pd_95
1,2-DIHYDRO-1-HYDROXY-6-METHYL-2-(PROPANESULFONYL)-THIENO(3,2D)(1,2,3)-DIAZABORINE	1,2-DIHYDRO-1-HYDROXY-6-METHYL-2-(PROPANESULFONYL)-THIENO(3,2D)(1,2,3)-DIAZABORINE	pd_96
(12E,20Z,18S)-8-HYDROXYVARIABILIN	(12E,20Z,18S)-8-HYDROXYVARIABILIN	pd_97
12-HYDROXYDODECANOIC ACID	12-HYDROXYDODECANOIC ACID	pd_98
1,2-propylene-glycol	1,2-PROPANEDIOL	pd_99
1-[(2S)-4-(5-PHENYL-1H-PYRAZOLO[3,4-B]PYRIDIN-4-YL)MORPHOLIN-2-YL]METHANAMINE	1-[(2S)-4-(5-PHENYL-1H-PYRAZOLO[3,4-B]PYRIDIN-4-YL)MORPHOLIN-2-YL]METHANAMINE	pd_100
1300031-49-5	1300031-49-5	pd_101
130974-86-6	130974-86-6	pd_102
1312445-63-8	1312445-63-8	pd_103
13,14-DIHYDRO-PGE1	13,14-DIHYDRO-PGE1	pd_104
131513-18-3	131513-18-3	pd_105
132834-56-1	132834-56-1	pd_106
132861-87-1	132861-87-1	pd_107
1-[3-({[(4-AMINO-5-FLUORO-2-METHYLQUINOLIN-3-YL)METHYL]THIO}METHYL)PHENYL]-2,2,2-TRIFLUOROETHANE-1,1-DIOL	1-[3-({[(4-AMINO-5-FLUORO-2-METHYLQUINOLIN-3-YL)METHYL]THIO}METHYL)PHENYL]-2,2,2-TRIFLUOROETHANE-1,1-DIOL	pd_108
L-694247	137403-12-4	pd_109
1375469-38-7	1375469-38-7	pd_110
138154-39-9	138154-39-9	pd_111
13-ACETYLPHORBOL	13-ACETYLPHORBOL	pd_112
1-(3-CHLOROPHENYL)PIPERAZINE	1-(3-CHLOROPHENYL)PIPERAZINE	pd_113
1,3-DIETHYL-8-PHENYLXANTHINE	1,3-DIETHYL-8-PHENYLXANTHINE	pd_114
1,3-PROPANEDIAMINE, N-(2-NITROPHENYL)-	1,3-PROPANEDIAMINE, N-(2-NITROPHENYL)-	pd_115
1,3-PROPANEDIOL	1,3-PROPANEDIOL	pd_116
PX-12	141400-58-0	pd_117
1428327-31-4	1428327-31-4	pd_118
14346-24-8	14346-24-8	pd_119
CGP-53353	145915-60-2	pd_120
CAY-10415	146062-49-9	pd_121
GR-127935	148672-13-3	pd_122
14933-08-5	14933-08-5	pd_123
1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE	1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE	pd_124
1,4-BUTANEDIOL	1,4-BUTANEDIOL	pd_125
[14C]GLYSAR	[14C]GLYSAR	pd_126
[14C]HISTIDINE	[14C]HISTIDINE	pd_127
1,4-DIAMINO-5,8-DIHYDROXYANTHRAQUINONE	1,4-DIAMINO-5,8-DIHYDROXYANTHRAQUINONE	pd_128
1,4-DIAMINOBUTANE	1,4-DIAMINOBUTANE	pd_129
dioxane	1,4-DIOXANE	pd_130
1,4-DITHIO-ALPHA-D-GLUCOPYRANOSE	1,4-DITHIO-ALPHA-D-GLUCOPYRANOSE	pd_131
1-(4-HEXYLPHENYL)PROP-2-EN-1-ONE	1-(4-HEXYLPHENYL)PROP-2-EN-1-ONE	pd_132
1-(4-HYDROXYPHENYL)PROP-2-EN-1-ONE	1-(4-HYDROXYPHENYL)PROP-2-EN-1-ONE	pd_133
152814-89-6	152814-89-6	pd_134
152881-18-0	152881-18-0	pd_135
153436-54-5	153436-54-5	pd_136
153559-76-3	153559-76-3	pd_137
LY-294002	154447-36-6	pd_138
1-(5-CHLORO-2,4-DIMETHOXYPHENYL)-3-(5-CYANOPYRAZIN-2-YL)UREA	1-(5-CHLORO-2,4-DIMETHOXYPHENYL)-3-(5-CYANOPYRAZIN-2-YL)UREA	pd_139
15-EPI-LIPOXIN A4	15-EPI-LIPOXIN A4	pd_140
1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA	1-(5-OXO-2,3,5,9B-TETRAHYDRO-1H-PYRROLO[2,1-A]ISOINDOL-9-YL)-3-(5-PYRROLIDIN-2-YL-1H-PYRAZOL-3-YL)-UREA	pd_141
15(S)-HETE	15(S)-HETE	pd_142
1-(5-TERT-BUTYL-2-METHYL-2H-PYRAZOL-3-YL)-3-(4-CHLORO-PHENYL)-UREA	1-(5-TERT-BUTYL-2-METHYL-2H-PYRAZOL-3-YL)-3-(4-CHLORO-PHENYL)-UREA	pd_143
[1-(6-{6-[(1-METHYLETHYL)AMINO]-1H-INDAZOL-1-YL}PYRAZIN-2-YL)-1H-PYRROL-3-YL]ACETIC ACID	[1-(6-{6-[(1-METHYLETHYL)AMINO]-1H-INDAZOL-1-YL}PYRAZIN-2-YL)-1H-PYRROL-3-YL]ACETIC ACID	pd_144
PD-98059	167869-21-8	pd_145
1,6-HEXANEDIOL	1,6-HEXANEDIOL	pd_146
SB-216641	170230-39-4	pd_147
PD-158780	171179-06-9	pd_148
PP-1	172889-26-8	pd_149
PP-2	172889-27-9	pd_150
175354-76-4	175354-76-4	pd_151
LY-320135	176977-56-3	pd_152
17-ALLYL-AMINOGELDANAMYCIN	17-ALLYL-AMINOGELDANAMYCIN	pd_153
17-BETA ESTRADIOL	17-BETA ESTRADIOL	pd_154
17-EPIESTRIOL	17-EPIESTRIOL	pd_155
17-OCTADECYNOIC ACID	17-OCTADECYNOIC ACID	pd_156
GW-405833	180002-83-9	pd_157
180083-23-2	180083-23-2	pd_158
PD-160170	181468-88-2	pd_159
185517-74-2	185517-74-2	pd_160
18-CHLORO-11,12,13,14-TETRAHYDRO-1H,10H-8,4-(AZENO)-9,15,1,3,6-BENZODIOXATRIAZACYCLOHEPTADECIN-2-ONE	18-CHLORO-11,12,13,14-TETRAHYDRO-1H,10H-8,4-(AZENO)-9,15,1,3,6-BENZODIOXATRIAZACYCLOHEPTADECIN-2-ONE	pd_161
1,8-DIHYDROXY-4-NITRO-ANTHRAQUINONE	1,8-DIHYDROXY-4-NITRO-ANTHRAQUINONE	pd_162
1,8-DIHYDROXY-4-NITROXANTHEN-9-ONE	1,8-DIHYDROXY-4-NITROXANTHEN-9-ONE	pd_163
[18F]ET-1 (HUMAN, MOUSE, RAT)	[18F]ET-1 (HUMAN, MOUSE, RAT)	pd_164
[18F]FITM	[18F]FITM	pd_165
18-HYDROXYASCOMYCIN	18-HYDROXYASCOMYCIN	pd_166
19026-22-3	19026-22-3	pd_167
19608-29-8	19608-29-8	pd_168
198474-05-4	198474-05-4	pd_169
pyrazolanthrone	1,9-PYRAZOLOANTHRONE	pd_170
1'-ACETOXYCHAVICOL ACETATE	1'-ACETOXYCHAVICOL ACETATE	pd_171
1-ADAMANTANECARBONYL-RF-NH2	1-ADAMANTANECARBONYL-RF-NH2	pd_172
1-benzylimidazole	1-BENZYLIMIDAZOLE	pd_173
1BMK	1BMK	pd_174
1C2	1C2	pd_175
1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL	1-CHLORO-6-(4-HYDROXYPHENYL)-2-NAPHTHOL	pd_176
1-CYCLOBUTYL-3-(3,4-DIMETHOXYPHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	1-CYCLOBUTYL-3-(3,4-DIMETHOXYPHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE	pd_177
1-CYCLOHEXYL-3-(3-PHENYLPROPYL)UREA	1-CYCLOHEXYL-3-(3-PHENYLPROPYL)UREA	pd_178
1-(CYCLOHEXYLAMINO)-3-(6-METHYL-3,4-DIHYDRO-1H-CARBAZOL-9(2H)-YL)PROPAN-2-OL	1-(CYCLOHEXYLAMINO)-3-(6-METHYL-3,4-DIHYDRO-1H-CARBAZOL-9(2H)-YL)PROPAN-2-OL	pd_179
