sig_id	type	common_name	source	source_id	method	coef	consensus
1	D1	BRD-K68741898	LINCS	BRD-K68741898	LIMMA_t	trt	1
2	D1	BRD-K18814832	LINCS	BRD-K18814832	LIMMA_t	trt	1
3	D1	BRD-K18970629	LINCS	BRD-K18970629	LIMMA_t	trt	1
4	D1	BAY-K8644	LINCS	BRD-A05457250	LIMMA_t	trt	0
5	D1	KU-C103869	LINCS	BRD-K02458594	LIMMA_t	trt	1
6	D1	BRD-K00144236	LINCS	BRD-K00144236	LIMMA_t	trt	1
7	D1	streptozotocin	LINCS	BRD-A12832192	LIMMA_t	trt	0
8	D1	BRD-A80383043	LINCS	BRD-A80383043	LIMMA_t	trt	1
9	D1	peucedanin	LINCS	BRD-K72034655	LIMMA_t	trt	1
10	D1	otenzepad	LINCS	BRD-A00520476	LIMMA_t	trt	1
11	D1	oxymetholone	LINCS	BRD-A93291428	LIMMA_t	trt	0
12	D1	ethinyl-estradiol	LINCS	BRD-A43286952	LIMMA_t	trt	0
13	D1	vinblastine	LINCS	BRD-A85648045	LIMMA_t	trt	0
14	D1	BRD-K63989441	LINCS	BRD-K63989441	LIMMA_t	trt	1
15	D1	JPR-3-97-17	LINCS	BRD-K94137285	LIMMA_t	trt	1
16	D1	cytarabine	LINCS	BRD-A18929998	LIMMA_t	trt	0
17	D1	BRD-K91834385	LINCS	BRD-K91834385	LIMMA_t	trt	1
18	D1	BRD-K02409808	LINCS	BRD-K02409808	LIMMA_t	trt	1
19	D1	BRD-K71879957	LINCS	BRD-K71879957	LIMMA_t	trt	1
20	D1	BRD-K71915010	LINCS	BRD-K71915010	LIMMA_t	trt	1
21	D1	BRD-K73125384	LINCS	BRD-K73125384	LIMMA_t	trt	1
22	D1	BRD-K14471942	LINCS	BRD-K14471942	LIMMA_t	trt	1
23	D1	1,2-propylene-glycol	LINCS	BRD-A19232309	LIMMA_t	trt	1
24	D1	nintedanib	LINCS	BRD-K49075727	LIMMA_t	trt	1
25	D1	cimaterol	LINCS	BRD-A65440446	LIMMA_t	trt	1
26	D1	ciglitazone	LINCS	BRD-A93000692	LIMMA_t	trt	1
27	D1	BRD-K98793371	LINCS	BRD-K98793371	LIMMA_t	trt	1
28	D1	BRD-K98830854	LINCS	BRD-K98830854	LIMMA_t	trt	1
29	D1	BRD-K33720404	LINCS	BRD-K33720404	LIMMA_t	trt	1
30	D1	BRD-K08174547	LINCS	BRD-K08174547	LIMMA_t	trt	1
31	D1	lacidipine	LINCS	BRD-A52282606	LIMMA_t	trt	0
32	D1	BRD-K62748060	LINCS	BRD-K62748060	LIMMA_t	trt	1
33	D1	BRD-K09640010	LINCS	BRD-K09640010	LIMMA_t	trt	1
34	D1	BRD-K25050358	LINCS	BRD-K25050358	LIMMA_t	trt	1
35	D1	diphenhydramine	LINCS	BRD-K47278471	LIMMA_t	trt	1
36	D1	orthothymotinic-acid	LINCS	BRD-K95788524	LIMMA_t	trt	1
37	D1	BRD-K86236946	LINCS	BRD-K86236946	LIMMA_t	trt	1
38	D1	chlorzoxazone	LINCS	BRD-K98174813	LIMMA_t	trt	1
39	D1	BRD-K55854370	LINCS	BRD-K55854370	LIMMA_t	trt	1
40	D1	DL-TBOA	LINCS	BRD-A05874290	LIMMA_t	trt	1
41	D1	BRD-K93980445	LINCS	BRD-K93980445	LIMMA_t	trt	1
42	D1	oxidopamine	LINCS	BRD-K41809988	LIMMA_t	trt	1
43	D1	BRD-A26583774	LINCS	BRD-A26583774	LIMMA_t	trt	1
44	D1	rivastigmine	LINCS	BRD-K10706131	LIMMA_t	trt	1
45	D1	BRD-K12683703	LINCS	BRD-K12683703	LIMMA_t	trt	1
46	D1	BRD-K10405667	LINCS	BRD-K10405667	LIMMA_t	trt	1
47	D1	BRD-K10486333	LINCS	BRD-K10486333	LIMMA_t	trt	1
48	D1	BRD-K28800414	LINCS	BRD-K28800414	LIMMA_t	trt	1
49	D1	BRD-K28892486	LINCS	BRD-K28892486	LIMMA_t	trt	1
50	D1	BRD-K29138830	LINCS	BRD-K29138830	LIMMA_t	trt	1
51	D1	5'-guanidinonaltrindole	LINCS	BRD-A33084410	LIMMA_t	trt	1
52	D1	homochlorcyclizine	LINCS	BRD-A22769835	LIMMA_t	trt	1
53	D1	BRD-K78122632	LINCS	BRD-K78122632	LIMMA_t	trt	1
54	D1	BRD-K79426639	LINCS	BRD-K79426639	LIMMA_t	trt	1
55	D1	BRD-K26626929	LINCS	BRD-K26626929	LIMMA_t	trt	1
56	D1	bisindolylmaleimide	LINCS	BRD-K49448285	LIMMA_t	trt	0
57	D1	BMY-7378	LINCS	BRD-K31054881	LIMMA_t	trt	1
58	D1	suprofen	LINCS	BRD-A34006693	LIMMA_t	trt	1
59	D1	KN-62	LINCS	BRD-A81177136	LIMMA_t	trt	1
60	D1	levonorgestrel	LINCS	BRD-K90543092	LIMMA_t	trt	0
61	D1	BRD-K08656311	LINCS	BRD-K08656311	LIMMA_t	trt	1
62	D1	BRD-A96791331	LINCS	BRD-A96791331	LIMMA_t	trt	1
63	D1	BRD-K65742362	LINCS	BRD-K65742362	LIMMA_t	trt	1
64	D1	KU-C103655	LINCS	BRD-K38483076	LIMMA_t	trt	1
65	D1	BRD-K60092199	LINCS	BRD-K60092199	LIMMA_t	trt	1
66	D1	trolox	LINCS	BRD-A17846016	LIMMA_t	trt	1
67	D1	5-methylhydantoin	LINCS	BRD-A68318914	LIMMA_t	trt	1
68	D1	hexamethyleneamiloride	LINCS	BRD-K40990712	LIMMA_t	trt	1
69	D1	BRD-K28497936	LINCS	BRD-K28497936	LIMMA_t	trt	1
70	D1	BRD-K09864793	LINCS	BRD-K09864793	LIMMA_t	trt	1
71	D1	BRD-K25436320	LINCS	BRD-K25436320	LIMMA_t	trt	1
72	D1	moclobemide	LINCS	BRD-K07237224	LIMMA_t	trt	1
73	D1	LY-303511	LINCS	BRD-K22385716	LIMMA_t	trt	1
74	D1	LY-341495	LINCS	BRD-K69763916	LIMMA_t	trt	1
75	D1	mammea-a	LINCS	BRD-K92138166	LIMMA_t	trt	1
76	D1	MDL-73005EF	LINCS	BRD-A50764878	LIMMA_t	trt	1
77	D1	metronidazole	LINCS	BRD-K52020312	LIMMA_t	trt	1
78	D1	methyl-everninic-acid	LINCS	BRD-K31477169	LIMMA_t	trt	1
79	D1	gossypin	LINCS	BRD-K05485208	LIMMA_t	trt	1
80	D1	NM-PP1	LINCS	BRD-K78278890	LIMMA_t	trt	1
81	D1	BRD-K78386654	LINCS	BRD-K78386654	LIMMA_t	trt	1
82	D1	BRD-K78780288	LINCS	BRD-K78780288	LIMMA_t	trt	1
83	D1	CS-2092524	LINCS	BRD-K63488275	LIMMA_t	trt	1
84	D1	flumequine	LINCS	BRD-A69777949	LIMMA_t	trt	1
