A	B
domperidone	DRD2
domperidone	DRD3
domperidone	ABCG2
domperidone	CYP3A5
aliskiren	REN
alprenolol	ADRB1
alprenolol	ADRB2
alprenolol	HTR1A
alrestatin	AKR1B1
altrenogest	PGR
ALX-5407	SLC6A9
AM-281	CNR1
AM-281	CNR2
AM-281	GPR55
amcinonide	NR3C1
amcinonide	ANXA1
AMG-9810	TRPV1
spiramide	DRD2
spiramide	HTR1A
spiramide	HTR2A
spiramide	HTR2B
spiramide	HTR2C
aminoglutethimide	CYP19A1
aminoglutethimide	CYP11A1
aminoglutethimide	NR3C1
amiodarone	KCNH2
amiodarone	ADRB1
amiodarone	CACNA1H
amiodarone	CACNA2D2
amiodarone	CHRM3
amiodarone	CYP2C8
amiodarone	KCNA7
amiodarone	SCN5A
amlodipine	CACNA1C
amlodipine	CACNA1D
amlodipine	CACNA2D1
amlodipine	ABCG2
amlodipine	CA1
amlodipine	CACNA1B
amlodipine	CACNA1S
amlodipine	CACNA2D3
amlodipine	CACNB1
amlodipine	CACNB2
amlodipine	SMPD1
amoxapine	SLC6A2
amoxapine	SLC6A4
amoxapine	HTR2A
amoxapine	HTR6
amoxapine	ADRA1A
amoxapine	ADRA1B
amoxapine	ADRA1D
amoxapine	ADRA2A
amoxapine	ADRA2B
amoxapine	ADRA2C
amoxapine	CHRM1
amoxapine	CHRM2
amoxapine	CHRM3
amoxapine	CHRM4
amoxapine	CHRM5
amoxapine	DRD1
amoxapine	DRD2
amoxapine	DRD3
amoxapine	DRD4
amoxapine	GABRA1
amoxapine	GABRA2
amoxapine	GABRA3
amoxapine	GABRA4
amoxapine	GABRA5
amoxapine	GABRA6
amoxapine	GABRB1
amoxapine	GABRB2
amoxapine	GABRB3
amoxapine	GABRD
amoxapine	GABRE
amoxapine	GABRG1
amoxapine	GABRG2
amoxapine	GABRG3
amoxapine	GABRP
amoxapine	GABRQ
amoxapine	HRH1
amoxapine	HRH4
amoxapine	HTR1A
amoxapine	HTR1B
amoxapine	HTR2B
amoxapine	HTR2C
amoxapine	HTR3A
amoxapine	HTR7
amoxapine	SLC6A3
amsacrine	TOP2A
amsacrine	KCNH2
anagrelide	PDE3A
phenazone	PTGS1
phenazone	PTGS2
apigenin	AKR1B1
apigenin	AR
apigenin	CDK6
apigenin	CFTR
apigenin	CYP19A1
apigenin	CYP1A2
apigenin	CYP1B1
apigenin	HSD17B1
apigenin	MAOA
apigenin	ODC1
apigenin	XDH
ARC-239	ADRA2B
ARC-239	ADRA2A
ARC-239	ADRA2C
asiatic-acid	PYGM
ATPA	GRIK1
ATPA	GRIA2
azaperone	DRD2
azaperone	DRD3
Ala-Ala-Phe-CMK	TPP2
alfaxalone	HSD11B1
ambroxol	GBA
CS-1657	PARP1
amisulpride	DRD2
amisulpride	DRD3
amisulpride	HTR2A
amisulpride	HTR7
amodiaquine	HNMT
amodiaquine	CYP2C8
amperozide	HTR2A
amperozide	DRD2
amperozide	FAAH
anpirtoline	HTR1B
anpirtoline	HTR3A
arcyriaflavin-a	CCND1
arcyriaflavin-a	CCNE1
arcyriaflavin-a	CDK2
arcyriaflavin-a	CDK4
atovaquone	DHODH
bisphenol-a	AR
bisphenol-a	ESR2
bisphenol-a	ESRRG
bisphenol-a	PPARG
bendroflumethiazide	SLC12A3
bendroflumethiazide	CA1
bendroflumethiazide	CA2
bendroflumethiazide	CA4
bendroflumethiazide	KCNMA1
bendroflumethiazide	SLC12A1
benzthiazide	CA2
benzthiazide	CA1
benzthiazide	CA12
benzthiazide	CA4
benzthiazide	CA9
benzthiazide	SLC12A3
bepridil	ATP1A1
bepridil	CACNA1A
bepridil	CACNA1C
bepridil	CACNA1H
bepridil	CACNA2D2
bepridil	CALM1
bepridil	KCNQ1
bepridil	KCNQ4
bepridil	PDE1A
bepridil	PDE1B
bepridil	SCN5A
bepridil	TNNC1
betamethasone	NR3C1
BH3I-1	BCL2
BIBU-1361	EGFR
BIBX-1382	EGFR
BIBX-1382	ERBB2
biperiden	CHRM1
biperiden	CHRM2
biperiden	CHRM3
biperiden	CHRM4
biperiden	CHRM5
biperiden	CHRNA2
bisoprolol	ADRB1
bisoprolol	ADRB2
bithionol	ESR1
bithionol	ESR2
bithionol	MCL1
BMS-182874	EDNRA
BMY-45778	PTGIR
BNTX	OPRD1
BNTX	OPRK1
BNTX	OPRM1
BRL-52537	OPRK1
bromocriptine	DRD2
bromocriptine	ADRA2A
bromocriptine	ADRA2B
bromocriptine	ADRA2C
bromocriptine	DRD1
bromocriptine	DRD3
bromocriptine	DRD4
bromocriptine	DRD5
bromocriptine	HTR1A
bromocriptine	HTR1B
bromocriptine	HTR1D
bromocriptine	HTR2A
bromocriptine	HTR2B
bromocriptine	HTR2C
bromocriptine	ADRA1A
bromocriptine	ADRA1B
bromocriptine	ADRA1D
bromocriptine	HTR6
bromocriptine	HTR7
bromocriptine	PRL
brompheniramine	HRH1
brompheniramine	CHRM1
brompheniramine	CHRM2
brompheniramine	CHRM3
brompheniramine	CHRM4
brompheniramine	CHRM5
brucine	CHRM1
brucine	CHRM2
brucine	CHRM3
brucine	CHRM4
brucine	CHRM5
BU-224	MAOA
BU-224	MAOB
budesonide	NR3C1
budesonide	CYP3A5
budesonide	CYP3A7
bupropion	SLC6A2
bupropion	SLC6A3
bupropion	CHRNA3
bupropion	CYP2B6
buspirone	HTR1A
buspirone	DRD2
BVT-948	PTPN1
BVT-948	PTPN11
BVT-948	PTPN2
BW-B70C	ALOX5
benazepril	ACE
benzamil	PKD2L1
benzamil	SCNN1A
benzamil	SCNN1B
benzamil	SCNN1G
benzamil	ASIC1
benzamil	SCNN1D
benzamil	SLC8A1
