SYMBOL	UCEC_CS	UCEC_OS	UCEC_TS	LUSC_CS	LUSC_OS	LUSC_TS	READ_CS	READ_OS	READ_TS	OV_CS	OV_OS	OV_TS	GBM_CS	GBM_OS	GBM_TS	BLCA_CS	BLCA_OS	BLCA_TS	HNSC_CS	HNSC_OS	HNSC_TS	LUAD_CS	LUAD_OS	LUAD_TS	COAD_CS	COAD_OS	COAD_TS	BRCA_CS	BRCA_OS	BRCA_TS	KIRC_CS	KIRC_OS	KIRC_TS	MAX_ONC	MAX_TSG	MAX_ONC_TSG
MTVR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-1	0	1	1	1	1
CHMP1B	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	-2	0	2	0	1	1	0	0	0	1	2	2
C16orf14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC441204	0	1	1	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	1	-1	0	1	1	2	1	0	0	0	0	1	1	1	2	1	2	1	2
TCOF1	-1	0	1	-1	0	1	0	0	0	0	0	0	-1	0	1	-1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	1
NSRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLRA1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	1	1	1	1
SPPL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000266469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OPA3	1	1	0	1	1	0	0	0	0	-1	0	1	1	1	0	1	1	0	0	0	0	-1	0	1	-1	0	1	0	1	1	1	2	1	2	1	2
OPA1	1	1	0	1	2	1	0	0	0	1	1	0	-1	0	1	1	1	0	1	2	1	0	0	0	-1	0	1	1	2	1	0	1	1	2	1	2
MGC39606	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	1	1
KIAA0831	0	0	0	0	0	0	-1	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-2	0	2	0	2	2
ITGA8	-2	0	2	0	1	1	0	0	0	0	0	0	-2	0	2	-1	0	1	-1	1	2	-2	0	2	0	1	1	1	2	1	-1	0	1	2	2	2
ITGA9	0	1	1	-1	0	1	0	0	0	0	0	0	-1	0	1	-1	0	1	-1	1	2	-1	1	2	0	0	0	-1	0	1	0	0	0	1	2	2
ITGA1	1	2	1	-3	0	3	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	1	1	0	1	1	1	1	0	0	2	2	2	3	3
ITGA2	-1	1	2	-1	0	1	0	0	0	-1	0	1	1	1	0	-1	0	1	0	0	0	0	1	1	1	1	0	0	1	1	2	2	0	2	2	2
ITGA3	0	0	0	0	0	0	0	0	0	-1	0	1	1	1	0	0	0	0	0	1	1	1	2	1	0	0	0	2	2	0	-1	0	1	2	1	2
ITGA4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-1	0	1	0	1	1	-1	0	1	-2	0	2	-1	0	1	0	0	0	1	2	2
ITGA5	-1	0	1	0	0	0	0	0	0	-1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	-1	0	1	-1	0	1	-1	0	1	1	1	1
ITGA6	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	-1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	-1	1	2	1	2	2
ITGA7	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	-1	0	1	0	0	0	1	1	0	1	1	1
TRHR	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	-1	0	1	1	1	1
LOC100132288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFSP1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
UFSP2	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
MT-CYB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM212B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM212A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP161	-1	1	2	0	0	0	0	0	0	-1	1	2	0	1	1	1	1	0	0	0	0	-1	0	1	0	1	1	1	2	1	0	0	0	2	2	2
CHST8	0	1	1	0	0	0	0	0	0	2	2	0	2	2	0	0	1	1	-1	0	1	-1	1	2	-1	1	2	0	2	2	-1	0	1	2	2	2
CHST1	-1	1	2	1	1	0	0	0	0	0	1	1	-2	0	2	-1	0	1	0	0	0	-1	0	1	-1	0	1	-1	1	2	0	1	1	1	2	2
CHST3	-1	0	1	1	1	0	0	0	0	-1	0	1	0	1	1	-1	0	1	-1	0	1	0	1	1	-1	0	1	-1	0	1	0	1	1	1	1	1
CHST2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	2	-2	0	2	0	0	0	1	2	2
CHST5	-1	0	1	0	0	0	0	0	0	-1	1	2	-2	0	2	0	1	1	-1	0	1	0	2	2	-1	1	2	-2	1	3	0	2	2	2	3	3
CHST4	-1	0	1	-1	0	1	0	0	0	0	1	1	2	2	0	-1	0	1	0	0	0	0	1	1	2	2	0	-2	1	3	0	0	0	2	3	3
CHST7	0	0	0	2	2	0	0	0	0	-1	0	1	1	1	0	0	0	0	1	1	0	-1	0	1	1	1	0	-1	0	1	1	2	1	2	1	2
CHST6	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	-1	0	1	0	1	1	0	0	0	-2	0	2	0	0	0	1	2	2
ITGAX	-1	0	1	-1	0	1	0	0	0	0	0	0	1	1	0	-1	0	1	-1	0	1	-1	1	2	0	0	0	0	1	1	0	1	1	1	2	2
BCL2A1	-1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1
