Gene	Tumor_type	Significance	Tumor_type
FLT3	AML	Highly significantly mutated	Acute myeloid leukemia
DNMT3A	AML	Highly significantly mutated	Acute myeloid leukemia
NPM1	AML	Highly significantly mutated	Acute myeloid leukemia
IDH2	AML	Highly significantly mutated	Acute myeloid leukemia
IDH1	AML	Highly significantly mutated	Acute myeloid leukemia
TET2	AML	Highly significantly mutated	Acute myeloid leukemia
RUNX1	AML	Highly significantly mutated	Acute myeloid leukemia
TP53	AML	Highly significantly mutated	Acute myeloid leukemia
NRAS	AML	Highly significantly mutated	Acute myeloid leukemia
WT1	AML	Highly significantly mutated	Acute myeloid leukemia
PTPN11	AML	Highly significantly mutated	Acute myeloid leukemia
U2AF1	AML	Highly significantly mutated	Acute myeloid leukemia
KRAS	AML	Highly significantly mutated	Acute myeloid leukemia
KIT	AML	Highly significantly mutated	Acute myeloid leukemia
SMC3	AML	Highly significantly mutated	Acute myeloid leukemia
STAG2	AML	Highly significantly mutated	Acute myeloid leukemia
CEBPA	AML	Significantly mutated	Acute myeloid leukemia
SMC1A	AML	Significantly mutated	Acute myeloid leukemia
PHF6	AML	Significantly mutated	Acute myeloid leukemia
RAD21	AML	Significantly mutated	Acute myeloid leukemia
ASXL1	AML	Significantly mutated	Acute myeloid leukemia
SFRS2	AML	Significantly mutated	Acute myeloid leukemia
PAPD5	AML	Significantly mutated	Acute myeloid leukemia
EZH2	AML	Significantly mutated	Acute myeloid leukemia
MXRA5	AML	Significantly mutated	Acute myeloid leukemia
PDSS2	AML	Significantly mutated	Acute myeloid leukemia
GATA2	AML	Near significance	Acute myeloid leukemia
KDM6A	AML	Near significance	Acute myeloid leukemia
TYW1	AML	Near significance	Acute myeloid leukemia
RBBP4	AML	Near significance	Acute myeloid leukemia
TP53	BLCA	Highly significantly mutated	Bladder cancer
KDM6A	BLCA	Highly significantly mutated	Bladder cancer
MLL2	BLCA	Highly significantly mutated	Bladder cancer
ARID1A	BLCA	Highly significantly mutated	Bladder cancer
PIK3CA	BLCA	Highly significantly mutated	Bladder cancer
RB1	BLCA	Highly significantly mutated	Bladder cancer
CDKN1A	BLCA	Highly significantly mutated	Bladder cancer
ERCC2	BLCA	Highly significantly mutated	Bladder cancer
STAG2	BLCA	Highly significantly mutated	Bladder cancer
TBC1D12	BLCA	Highly significantly mutated	Bladder cancer
RXRA	BLCA	Highly significantly mutated	Bladder cancer
NFE2L2	BLCA	Highly significantly mutated	Bladder cancer
C3orf70	BLCA	Highly significantly mutated	Bladder cancer
CREBBP	BLCA	Significantly mutated	Bladder cancer
ERBB3	BLCA	Significantly mutated	Bladder cancer
FBXW7	BLCA	Significantly mutated	Bladder cancer
