symbol	max_min_score	Q75.25_score	cor	p.value	fdr	TSGene
CCND1	1	1	-0.395398023	2.12790992617197E-009	4.96441385775921E-006	
YAP1	0.9835780007	0.9575801247	-0.3811596298	8.13167604946589E-009	9.48560011170196E-006	TSG
UBC	0.9726628874	0.9293851565	-0.3716958811	0.000000015	1.16857325054489E-005	
HNF1B	0.9677775874	0.9167658761	-0.3674601714	2.78425839386828E-008	1.62391870822367E-005	
ITGAV	0.9573228139	0.8897600175	-0.3583955518	0.000000061	2.32702092024155E-005	TSG
FGF2	0.9565194358	0.8876848015	-0.3576989976	5.27012127186196E-008	2.32702092024155E-005	
BCL2L1	0.9554914092	0.8850292929	-0.356807666	6.98206019789577E-008	2.32702092024155E-005	
HSPG2	0.9339011496	0.8292592186	-0.3380882276	3.25428395497967E-007	9.49030558370945E-005	
PKN2	0.9201064883	0.7936260534	-0.3261278195	8.282400737921E-007	0.0002146982	
MYB	0.9038618684	0.7516643692	-0.3120432199	2.37226897575601E-006	0.0005534504	
SP1	0.8944031486	0.7272314296	-0.3038422104	4.27710397508828E-006	0.0008377569	
KRAS	0.8942818635	0.7269181365	-0.3037370524	4.30907960376489E-006	0.0008377569	
MDM2	0.8865726808	0.7070044488	-0.2970529471	6.87915405582435E-006	0.0011747925	
PAX8	0.8850429728	0.7030530405	-0.2957266418	7.53829856142599E-006	0.0011747925	
TCF12	0.8850096194	0.7029668849	-0.2956977233	7.55331641015033E-006	0.0011747925	
PLOD3	0.8821381952	0.6955496726	-0.2932081077	8.95806958726213E-006	0.0013061985	
ALPK2	0.877032203	0.6823603191	-0.2887810508	1.11502061698581E-005	0.0015302018	
CBFA2T3	0.8735451476	0.6733528619	-0.2857576634	1.47896687406663E-005	0.0019169054	TSG
EPB41	0.8670260748	0.6565133619	-0.2801054209	0.000021441	0.0026327272	TSG
LASP1	0.8568411605	0.6302045803	-0.2712747779	3.77195430827773E-005	0.0043999847	
STAT5A	0.8545276477	0.6242285159	-0.269268889	0.000042773	0.0047518775	TSG
EGFR	0.8494094175	0.6110075504	-0.2648312214	5.62997657740494E-005	0.0059703343	
LEPREL1	0.844285123	0.5977709201	-0.2603882959	7.37865934553535E-005	0.0069411537	
CFD	0.8441320006	0.5973753877	-0.2602555339	7.438012923242E-005	0.0069411537	
GHSR	0.8437629377	0.5964220565	-0.2599355447	7.21004862945151E-005	0.0069411537	
AXL	0.8389728367	0.5840486857	-0.2557823755	0.000097197	0.0085211222	
PRKD1	0.8386908489	0.5833202795	-0.2555378832	9.86156450941893E-005	0.0085211222	
CEBPA	0.8342639436	0.5718850841	-0.2516996162	0.0001235821	0.0102970375	TSG
HLA-DQA1	0.8319610432	0.5659364328	-0.2497029287	0.0001387905	0.0111654579	
CCND3	0.8300341266	0.5609589899	-0.2480322309	0.0001528377	0.011885676	
TRIO	0.8288091473	0.5577947304	-0.2469701351	0.0001624443	0.012225246	
BCL6	0.8250326333	0.5480395689	-0.2436957779	0.0001957136	0.0137872172	
MLL3	0.8247021314	0.5471858454	-0.2434092224	0.0001989079	0.0137872172	
TUBB4B	0.8237418891	0.5447054313	-0.2425766619	0.0002009282	0.0137872172	
ARID1A	0.8238394913	0.5449575488	-0.2426612861	0.000207475	0.0138296937	TSG
CDC42BPA	0.8202555173	0.53569974	-0.2395538672	0.0002468685	0.0159984532	
CHST3	0.8172021655	0.5278125881	-0.2369065145	0.0002857871	0.0180200359	
YEATS4	0.8119929715	0.5143566528	-0.2323899784	0.0003655398	0.0224422209	
ARNT	0.809351989	0.5075346972	-0.230100163	0.0004134024	0.023871295	
NLRP3	0.8092307039	0.5072214042	-0.229995005	0.0004157334	0.023871295	
TFRC	0.8087819491	0.50606222	-0.2296059204	0.000424464	0.023871295	
PLIN3	0.8079057512	0.503798902	-0.228846229	0.0004297447	0.023871295	
GCDH	0.8078192489	0.5035754566	-0.2287712288	0.000443767	0.0240263688	
DYRK1A	0.8073659459	0.502404524	-0.2283782007	0.0004531334	0.0240263688	
TUFT1	0.8047188991	0.4955669037	-0.2260831274	0.0005115645	0.0260692521	
PPARG	0.8046142907	0.4952966885	-0.2259924286	0.0005140101	0.0260692521	
ARL3	0.8035060483	0.4924339735	-0.2250315474	0.0005405883	0.0268338826	
GCH1	0.8019839206	0.4885021461	-0.2237118145	0.0005791548	0.0281493359	
PI4K2A	0.7998629479	0.4830234343	-0.221872864	0.0006371183	0.0303346309	
FASTK	0.7991640426	0.4812180833	-0.221266891	0.0006573551	0.0304922869	
SMAD2	0.7987319645	0.4801019769	-0.2208922656	0.0006701593	0.0304922869	TSG
LPP	0.7982725973	0.4789153796	-0.2204939797	0.0006840227	0.0304922869	
ANGPT2	0.7979890934	0.4781830571	-0.2202481729	0.0006927095	0.0304922869	
ADSS	0.7948584224	0.470096181	-0.217533782	0.0007955934	0.0343725807	
STRN4	0.7941049389	0.4681498481	-0.2168804879	0.000822359	0.0343946899	
MECOM	0.7940154911	0.4679187944	-0.2168029339	0.0008255905	0.0343946899	
CDK19	0.7911137457	0.4604232589	-0.2142870288	0.0009369396	0.0383487716	
NCOA2	0.78954462	0.4563700304	-0.2129265471	0.0010027115	0.0403332075	
BLNK	0.7847932772	0.4440967762	-0.2088069825	0.001228391	0.0485734937	
SS18L1	0.7833454366	0.4403568408	-0.2075516589	0.0013058277	0.0507749353	
NPY1R	0.7825100856	0.4381990351	-0.2068273831	0.0013524994	0.0517275572	
RAF1	0.7820537505	0.4370202701	-0.2064317262	0.0013786304	0.0518765284	
MEF2A	0.7812866224	0.4350386917	-0.2057666018	0.0014235936	0.0527181563	
PRKCZ	0.7802238619	0.4322934616	-0.2048451548	0.001488085	0.0538642062	
CDK6	0.7799176171	0.4315023967	-0.2045796309	0.0015071546	0.0538642062	
CARD9	0.7795552779	0.4305664338	-0.2042654714	0.0015300033	0.0538642062	
CSNK1G3	0.7792384207	0.4297479558	-0.2039907461	0.0015502409	0.0538642062	
ESD	0.7785167745	0.4278838623	-0.203365056	0.001597241	0.0538642062	
CDC25B	0.778266624	0.4272376954	-0.2031481676	0.001613832	0.0538642062	
NGF	0.7782317546	0.4271476237	-0.2031179347	0.0016161571	0.0538642062	
CLK1	0.7766353397	0.4230239043	-0.2017337925	0.0017259098	0.0563046098	
PAPOLA	0.7764700888	0.4225970425	-0.2015905147	0.0017376476	0.0563046098	
CBFB	0.7734061246	0.4146824775	-0.1989339608	0.0019687799	0.062920047	
EGLN1	0.7729513056	0.4135076287	-0.1985396183	0.0020053611	0.0632230721	TSG
FAP	0.7725662254	0.4125129233	-0.1982057416	0.0020368116	0.0633584194	
HDAC5	0.7706559855	0.4075785582	-0.1965495031	0.002199505	0.0669393299	
IRS2	0.7702405841	0.4065055296	-0.196189337	0.0022363985	0.0669393299	
ACAT1	0.7700359155	0.4059768476	-0.1960118829	0.0022547803	0.0669393299	
SLC6A4	0.769904018	0.4056361415	-0.1958975235	0.0022666983	0.0669393299	
EPHA4	0.7686729745	0.4024562173	-0.1948301698	0.0023806996	0.0694271511	
TLE3	0.7682636374	0.4013988533	-0.1944752616	0.0024197341	0.069694318	
GPRC5A	0.7644340611	0.3915066261	-0.1911548977	0.0028137797	0.0800554637	TSG
ISG15	0.7635971941	0.3893449043	-0.1904293075	0.0029072004	0.0817168503	TSG
MAPK14	0.7624844035	0.3864704408	-0.1894644829	0.0030357272	0.0843137081	
ARHGAP29	0.7614034503	0.3836782167	-0.1885272622	0.0031654261	0.0868816374	TSG
NAV3	0.7603012721	0.3808311664	-0.1875716389	0.0033027563	0.0895968659	
TP53RK	0.7591248069	0.3777922241	-0.1865516063	0.0034551982	0.0922737255	
WHSC1	0.7589337829	0.3772987876	-0.1863859824	0.0034805349	0.0922737255	
RDX	0.7560396178	0.3698228328	-0.1838766497	0.0038852363	0.1003209802	
PDGFA	0.7557075999	0.3689651931	-0.1835887796	0.0039342463	0.1003209802	
MAPK1	0.7555271883	0.3684991698	-0.1834323571	0.0039611075	0.1003209802	
BCL2	0.7552937146	0.3678960807	-0.183229928	0.0039961115	0.1003209802	
HSD17B11	0.7552740057	0.3678451706	-0.1832128398	0.0039990789	0.1003209802	
ITGB4	0.7529134949	0.3617477051	-0.1811662022	0.0043689978	0.1075220523	
MSI2	0.7525754128	0.3608744008	-0.1808730743	0.0044243965	0.1075220523	
CARD14	0.752544402	0.3607942965	-0.180846187	0.0043910089	0.1075220523	
CCNT1	0.7515165107	0.3581391373	-0.1799549726	0.0045630191	0.1097476644	
ABCC8	0.7510199317	0.3568564178	-0.1795244229	0.004687401	0.1115888416	
PXK	0.7506121106	0.35580297	-0.1791708292	0.0047586117	0.1121398087	
ABCC3	0.7492870712	0.3523802437	-0.178021978	0.0049966474	0.1165717842	
GPX3	0.7481818609	0.3495253611	-0.1770637257	0.0052031971	0.1186993954	TSG
ZFY	0.7480287385	0.3491298286	-0.1769309638	0.0052324017	0.1186993954	
IRF4	0.7478225539	0.3485972305	-0.1767521952	0.0052719557	0.1186993954	
OPLAH	0.7474526344	0.3476416868	-0.1764314633	0.0053435835	0.1186993954	
TNFRSF8	0.7472555461	0.3471325856	-0.1762605815	0.0053820961	0.1186993954	
AKT2	0.7470660382	0.3466430653	-0.1760962721	0.0054193587	0.1186993954	
VHL	0.7468583375	0.346106551	-0.1759161891	0.0054604603	0.1186993954	TSG
MYC	0.7466855063	0.3456601084	-0.1757663389	0.0054948713	0.1186993954	
IGFBP5	0.7461321431	0.344230709	-0.1752865555	0.0056063392	0.1199962332	TSG
FLNB	0.7449253566	0.3411134434	-0.1742402335	0.0058563814	0.1224867307	
AK2	0.7447222041	0.3405886776	-0.1740640938	0.0058994277	0.1224867307	
GSS	0.7445918227	0.3402518876	-0.173951049	0.0059272012	0.1224867307	
EPHA6	0.7445660496	0.3401853128	-0.1739287029	0.0059327049	0.1224867307	
DLL4	0.744218871	0.3392885115	-0.1736276881	0.006007284	0.1229385396	
POLK	0.7438171142	0.3382507284	-0.1732793522	0.0060946177	0.123641245	
MMP2	0.7429530235	0.3360186845	-0.1725301582	0.0062440737	0.1255812412	
ERBB4	0.7422616331	0.3342327454	-0.1719307009	0.0064433882	0.128047179	TSG
ITGB3	0.7419144546	0.3333359441	-0.1716296861	0.0065235883	0.128047179	TSG
IL23A	0.7418811012	0.3332497885	-0.1716007677	0.0065313392	0.128047179	
NR2F1	0.7409274973	0.3307865221	-0.1707739629	0.006756396	0.1313555998	
MMP10	0.7405439332	0.3297957329	-0.1704414007	0.0068488239	0.131514052	
IL4R	0.7402506395	0.3290381221	-0.1701871057	0.0068772886	0.131514052	
VPS13B	0.7398374477	0.3279708011	-0.1698288554	0.0070219762	0.1331434109	
CCR1	0.7396176185	0.3274029575	-0.1696382565	0.0070766322	0.1331434109	
AFF1	0.7386761431	0.3249710204	-0.1688219675	0.0073149555	0.1365263286	
HIPK1	0.7383350288	0.3240898838	-0.1685262106	0.0074030249	0.1370734695	
EPHB4	0.7378650491	0.3228758733	-0.1681187234	0.0075258865	0.1380771737	TSG
LYL1	0.7376482521	0.322315862	-0.1679307535	0.0075831608	0.1380771737	
CYB5R1	0.7372821863	0.3213702728	-0.1676133628	0.0076370871	0.1380771737	
ERBB3	0.7372328507	0.3212428334	-0.1675705873	0.0076939702	0.1380771737	
EEF1D	0.7367886441	0.3200953977	-0.1671854461	0.0078140292	0.1391017854	
ZNF521	0.7365824594	0.3195627996	-0.1670066775	0.007870311	0.1391017854	
SCNN1G	0.7356606929	0.3171817726	-0.1662074767	0.0081262819	0.1415342455	
MYLK3	0.7356500804	0.3171543595	-0.1661982754	0.0081292708	0.1415342455	
BCL11A	0.7339338966	0.3127212632	-0.1647102897	0.0086254373	0.1490603345	
NR1H3	0.7322586465	0.3083939033	-0.1632577948	0.009135041	0.156706255	
RNF130	0.7315749019	0.3066277139	-0.1626649666	0.0093504489	0.1592306367	
CTSF	0.7307516794	0.3045012375	-0.1619512067	0.0096156495	0.16256022	
PSIP1	0.7301710271	0.3030013472	-0.1614477628	0.009806616	0.1645959362	
SMPD1	0.7295964391	0.3015171215	-0.1609495767	0.0099988221	0.1661196721	
